officerNumber,firstName,middleName,lastName,rank,workStatus,endDate,sex,race,hireDate,bureau,district,windowsUsername,employeeType,supervisorOfficerNumber
6414,Jazmin,B,Bauch,POLICE RECRUIT ACADEMY,Active,NULL,F,Black / African American,2017-10-29,MSB - Management Service Bureau,NULL,30282,Non-Commissioned,3802
6413,Katelin,S,Hintz,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,NULL,NULL,NULL,NULL,NULL
6412,Sandra,F,Krajcik,"Police PR Specialist, Senior",Active,NULL,M,White,2017-10-15,Office of the Superintendant,NULL,30252,Non-Commissioned,NULL
6411,Stephen,T,Sauer,POLICE RECRUIT ACADEMY,Active,NULL,M,White,2017-10-15,MSB - Management Service Bureau,NULL,30244,Non-Commissioned,3802
6410,Dawson,F,Klocko,POLICE TECHNICIAN 1,Active,NULL,F,Black / African American,2017-10-15,MSB - Management Service Bureau,NULL,30248,Non-Commissioned,2615
6409,Germaine,H,Goldner,"Forensic Firearms Examiner, Se",Active,NULL,M,Black / African American,2017-10-15,ISB - Investigations and Support Bureau,NULL,30251,Non-Commissioned,1522
6408,Patience,P,Raynor,POLICE TECHNICIAN 1,Active,NULL,F,Black / African American,2017-10-08,FOB - Field Operations Bureau,NULL,30239,Non-Commissioned,3524
6407,Birdie,Y,Monahan,Police Public Relations Analy,Active,NULL,F,Black / African American,2017-10-01,Office of the Superintendant,NULL,30231,Non-Commissioned,NULL
6406,Sydni,F,Ledner,POLICE AIDE,Active,NULL,F,White,2017-10-01,MSB - Management Service Bureau,NULL,30217,Non-Commissioned,3802
6405,Fleta,V,Harvey,POLICE RECRUIT ACADEMY,Active,NULL,M,White,2017-10-01,MSB - Management Service Bureau,NULL,30218,Non-Commissioned,3802
6404,Alisha,M,Lockman,POLICE AIDE,Active,NULL,M,Black / African American,2017-10-01,MSB - Management Service Bureau,NULL,30225,Non-Commissioned,3802
6403,Jaren,W,Predovic,POLICE AIDE,Active,NULL,F,Black / African American,2017-10-01,MSB - Management Service Bureau,NULL,30227,Non-Commissioned,5777
6402,Lilyan,K,Hodkiewicz,POLICE AIDE,Active,NULL,M,White,2017-10-01,MSB - Management Service Bureau,NULL,30228,Non-Commissioned,3802
6401,Reynold,X,Gutkowski,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,NULL,NULL,NULL,NULL,NULL
6400,Elias,M,Tremblay,POLICE TECHNICAL SPECIALIST,Active,NULL,F,White,2017-09-17,ISB - Investigations and Support Bureau,NULL,30203,Non-Commissioned,309
6399,Dixie,F,Stracke,POLICE TECHNICAL SPECIALIST,Active,NULL,F,White,2017-09-17,ISB - Investigations and Support Bureau,NULL,30204,Non-Commissioned,309
6398,Mackenzie,G,Harvey,POLICE AIDE,Terminated,NULL,M,Black / African American,2017-09-17,MSB - Management Service Bureau,NULL,30200,Non-Commissioned,665
6397,Kenneth,Z,Crooks,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,NULL,NULL,NULL,NULL,NULL
6396,Camryn,P,Ryan,MANAGEMENT DEV ANALYT I,Active,2015-08-23,M,Black / African American,2010-06-21,MSB - Management Service Bureau,NULL,20791,Non-Commissioned,5777
6395,Nya,K,Koelpin,POLICE RECRUIT ACADEMY,Active,NULL,M,White,2017-09-17,MSB - Management Service Bureau,NULL,30195,Non-Commissioned,3802
6394,Queen,D,Fay,POLICE AIDE,Active,NULL,F,White,2017-09-17,MSB - Management Service Bureau,NULL,30196,Non-Commissioned,5777
6393,Stan,Z,Lockman,POLICE TECHNICIAN 1,Active,NULL,F,Black / African American,2017-09-17,MSB - Management Service Bureau,NULL,30199,Non-Commissioned,5777
6392,Walter,Z,Leannon,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,NULL,NULL,NULL,NULL,NULL
6391,Darryl,H,Larson,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,NULL,NULL,NULL,NULL,NULL
6390,Annetta,D,Glover,POLICE RECRUIT ACADEMY,Active,NULL,F,White,2017-09-03,FOB - Field Operations Bureau,NULL,30186,Non-Commissioned,665
6389,Tre,Q,Daniel,POLICE RECRUIT ACADEMY,Active,NULL,M,White,2017-09-03,FOB - Field Operations Bureau,NULL,30188,Non-Commissioned,665
6388,Mazie,Q,Heaney,POLICE TECHNICIAN 1,Active,NULL,F,Black / African American,2017-09-03,MSB - Management Service Bureau,NULL,30182,Non-Commissioned,3431
6387,Vivian,T,Fay,POLICE RECRUIT ACADEMY,Active,NULL,M,White,2017-09-03,FOB - Field Operations Bureau,NULL,30183,Non-Commissioned,665
6386,Daron,Q,Blick,POLICE RECRUIT ACADEMY,Active,NULL,M,White,2017-09-03,FOB - Field Operations Bureau,NULL,30179,Non-Commissioned,665
6385,Marvin,O,Treutel,POLICE RECRUIT ACADEMY,Active,NULL,F,White,2017-09-03,FOB - Field Operations Bureau,NULL,30180,Non-Commissioned,665
6384,Ernestine,P,Kassulke,POLICE TECHNICAL SPECIALIST,Active,NULL,F,White,2017-09-03,ISB - Investigations and Support Bureau,NULL,30181,Non-Commissioned,309
6383,Eli,K,Dietrich,POLICE TECHNICAL SPECIALIST,Active,NULL,M,Black / African American,2017-09-03,ISB - Investigations and Support Bureau,NULL,30168,Non-Commissioned,309
6382,Owen,C,Langworth,POLICE TECHNICAL SPECIALIST,Active,NULL,F,Black / African American,2017-09-03,ISB - Investigations and Support Bureau,NULL,30169,Non-Commissioned,309
6381,Lorenz,S,Hessel,POLICE TECHNICAL SPECIALIST,Active,NULL,F,Black / African American,2017-09-03,ISB - Investigations and Support Bureau,NULL,30171,Non-Commissioned,309
6380,Camylle,D,Wolff,POLICE TECHNICAL SPECIALIST,Active,NULL,F,White,2017-09-03,ISB - Investigations and Support Bureau,NULL,30172,Non-Commissioned,309
6379,Justice,S,Goldner,POLICE TECHNICAL SPECIALIST,Active,NULL,F,Black / African American,2017-09-03,ISB - Investigations and Support Bureau,NULL,30175,Non-Commissioned,309
6378,Nelda,M,Wolf,POLICE TECHNICAL SPECIALIST,Active,NULL,F,White,2017-09-03,ISB - Investigations and Support Bureau,NULL,30176,Non-Commissioned,309
6377,Jena,G,Hills,POLICE TECHNICAL SPECIALIST,Active,NULL,F,Black / African American,2017-09-03,ISB - Investigations and Support Bureau,NULL,30177,Non-Commissioned,309
6376,Clifford,Q,Howell,POLICE RECRUIT ACADEMY,Active,NULL,M,Black / African American,2017-08-27,FOB - Field Operations Bureau,NULL,30167,Non-Commissioned,665
6375,Aron,P,Glover,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,NULL,NULL,NULL,NULL,NULL
6374,Paxton,H,Heidenreich,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,NULL,NULL,NULL,NULL,NULL
6373,Brady,L,Heller,Police Recruitment & App Inv A,Active,1999-03-21,F,Black / African American,1991-06-23,MSB - Management Service Bureau,NULL,4626,Non-Commissioned,330
6372,Fern,F,Haag,POLICE RECRUIT ACADEMY,Active,NULL,M,Unknown Race,2017-08-27,FOB - Field Operations Bureau,NULL,30151,Non-Commissioned,3802
6371,Sylvia,Z,Koss,POLICE RECRUIT ACADEMY,Active,NULL,F,Black / African American,2017-08-27,FOB - Field Operations Bureau,NULL,30152,Non-Commissioned,665
6370,Jude,D,Moore,POLICE TECHNICIAN 1,Active,NULL,F,Black / African American,2017-08-20,MSB - Management Service Bureau,NULL,30153,Non-Commissioned,3431
6369,Kolby,M,Schoen,POLICE TECHNICIAN 1,Terminated,NULL,F,Black / African American,2017-08-20,MSB - Management Service Bureau,NULL,30154,Non-Commissioned,3431
6368,Van,Z,Schmeler,POLICE TECHNICIAN 1,Active,NULL,M,Black / African American,2017-08-20,ISB - Investigations and Support Bureau,NULL,30155,Non-Commissioned,3410
6367,Garnet,B,Russel,POLICE RECRUIT ACADEMY,Active,NULL,M,White,2017-08-27,FOB - Field Operations Bureau,NULL,30156,Non-Commissioned,665
6366,Adrienne,W,Kunze,POLICE RECRUIT ACADEMY,Active,NULL,M,Hispanic,2017-08-27,FOB - Field Operations Bureau,NULL,30157,Non-Commissioned,665
6365,Ernestine,Q,Mitchell,POLICE RECRUIT ACADEMY,Active,NULL,M,White,2017-08-27,FOB - Field Operations Bureau,NULL,30158,Non-Commissioned,665
6364,Jeffrey,H,Mayer,POLICE TECHNICIAN 1,Terminated,NULL,F,Black / African American,2017-08-27,MSB - Management Service Bureau,NULL,30162,Non-Commissioned,5777
6363,Addison,C,Reichel,POLICE RECRUIT ACADEMY,Active,NULL,M,White,2017-08-27,FOB - Field Operations Bureau,NULL,30163,Non-Commissioned,3802
6362,Cristopher,X,Jacobson,POLICE TECHNICIAN 1,Active,NULL,F,Black / African American,2017-08-20,MSB - Management Service Bureau,NULL,30147,Non-Commissioned,2615
6361,Genevieve,I,Baumbach,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,NULL,NULL,NULL,NULL,NULL
6360,Raoul,U,Hane,POLICE AIDE,Active,NULL,M,White,2017-08-20,MSB - Management Service Bureau,NULL,30139,Non-Commissioned,3802
6359,Eleanora,F,Gottlieb,POLICE AIDE,Active,NULL,M,Unknown Race,2017-08-20,MSB - Management Service Bureau,NULL,30140,Non-Commissioned,3802
6358,Vicenta,A,Mante,POLICE RECRUIT ACADEMY,Active,NULL,M,Hispanic,2017-08-20,FOB - Field Operations Bureau,NULL,30142,Non-Commissioned,665
6357,Haylee,A,Macejkovic,POLICE RECRUIT ACADEMY,Active,NULL,M,White,2017-08-20,FOB - Field Operations Bureau,NULL,30143,Non-Commissioned,665
6356,Mervin,D,Nolan,POLICE AIDE,Active,NULL,M,Black / African American,2017-08-06,FOB - Field Operations Bureau,NULL,30103,Non-Commissioned,665
6354,Noemy,L,Bruen,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,NULL,NULL,NULL,NULL,NULL
6353,Lucy,N,Ruecker,Police Performance Auditor,Active,NULL,F,Black / African American,2017-08-06,Compliance Bureau,NULL,30098,Non-Commissioned,5901
6352,Florine,I,Schneider,POLICE AIDE,Terminated,NULL,M,Black / African American,2017-08-06,MSB - Management Service Bureau,NULL,30082,Non-Commissioned,6072
6351,Sammy,M,Rolfson,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,NULL,NULL,NULL,NULL,NULL
6350,Colton,A,Hartmann,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,NULL,NULL,NULL,NULL,NULL
6349,Magdalena,V,Runolfsdottir,POLICE RECRUIT ACADEMY,Active,NULL,M,Black / African American,2017-07-23,FOB - Field Operations Bureau,NULL,30061,Non-Commissioned,665
6348,Zaria,F,Batz,POLICE AIDE,Terminated,NULL,M,Black / African American,2017-07-23,MSB - Management Service Bureau,NULL,30062,Non-Commissioned,3802
6347,Russell,L,Leuschke,POLICE AIDE,Active,NULL,F,Black / African American,2017-07-23,FOB - Field Operations Bureau,NULL,30063,Non-Commissioned,665
6346,Caitlyn,H,Nader,POLICE RECRUIT ACADEMY,Active,NULL,M,White,2017-07-23,FOB - Field Operations Bureau,NULL,30075,Non-Commissioned,665
6345,Chet,G,Haag,Crime Analyst III,Active,NULL,F,White,2017-07-23,FOB - Field Operations Bureau,NULL,30077,Non-Commissioned,5698
6344,Cordia,N,Gutkowski,POLICE OFFICER 1,NULL,NULL,Unknown Sex,Unknown Race,NULL,MSB - Management Services Bureau,NULL,NULL,NULL,NULL
6343,Verona,Y,Cronin,POLICE RECRUIT ACADEMY,Active,NULL,M,White,2017-07-09,FOB - Field Operations Bureau,NULL,30045,Non-Commissioned,3802
6342,Marie,T,Collier,POLICE RECRUIT ACADEMY,Active,NULL,M,White,2017-07-09,FOB - Field Operations Bureau,NULL,30039,Non-Commissioned,665
6341,Mariano,C,Witting,POLICE TECHNICIAN 1,Active,NULL,F,White,2017-07-09,FOB - Field Operations Bureau,NULL,30041,Non-Commissioned,3346
6340,Edyth,N,Armstrong,Police Applications Spec (EIS),Active,NULL,F,White,2017-06-25,MSB - Management Service Bureau,NULL,30033,Non-Commissioned,3333
6339,Elyse,D,Nicolas,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,NULL,NULL,NULL,NULL,NULL
6338,Ethel,B,Dooley,POLICE TECHNICIAN 1,Active,NULL,M,Black / African American,2017-06-25,FOB - Field Operations Bureau,NULL,30025,Non-Commissioned,3524
6337,Terrell,U,Powlowski,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,NULL,NULL,NULL,NULL,NULL
6336,Jillian,W,Kemmer,Police Recruitment & App Inv A,Terminated,NULL,F,Black / African American,2017-06-06,MSB - Management Service Bureau,NULL,30012,Non-Commissioned,674
6335,Jayson,F,Mraz,POLICE AIDE,Terminated,NULL,M,Hispanic,2017-06-25,MSB - Management Service Bureau,NULL,30015,Non-Commissioned,6072
6334,Jadyn,X,McKenzie,POLICE RECRUIT ACADEMY,Active,NULL,M,White,2017-06-25,FOB - Field Operations Bureau,NULL,30016,Non-Commissioned,665
6333,Rubye,Y,Wilderman,NULL,NULL,NULL,F,White,NULL,NULL,NULL,NULL,NULL,NULL
6332,Ashton,D,Parker,NULL,NULL,NULL,F,White,NULL,NULL,NULL,NULL,NULL,NULL
6331,Lori,J,Schmitt,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,NULL,NULL,NULL,NULL,NULL
6330,Tyra,Y,Haley,Police Applications Spec (EIS),Active,NULL,F,Black / African American,2017-06-11,MSB - Management Service Bureau,NULL,30009,Non-Commissioned,3333
6329,Doris,K,Cronin,POLICE TECHNICIAN 1,Active,2013-12-22,F,Black / African American,2011-01-02,FOB - Field Operations Bureau,NULL,20978,Non-Commissioned,3524
6328,Alberta,R,Gleason,MANAGEMENT DEV ANALYT I,Active,NULL,F,Black / African American,2016-05-16,MSB - Management Service Bureau,NULL,26954,Non-Commissioned,5777
6327,Steve,T,Langosh,Crime Analyst III,Active,NULL,F,White,2017-06-11,FOB - Field Operations Bureau,NULL,30006,Non-Commissioned,5698
6326,Juana,V,Yost,POLICE TECHNICIAN 1,Active,NULL,F,Black / African American,2017-06-11,FOB - Field Operations Bureau,NULL,29997,Non-Commissioned,3524
6325,Chaya,X,Powlowski,POLICE TECHNICIAN 1,Active,NULL,F,Black / African American,2017-06-11,MSB - Management Service Bureau,NULL,29998,Non-Commissioned,2615
6324,Alena,Y,Price,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,NULL,NULL,NULL,NULL,NULL
6323,Billy,F,Jacobson,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,NULL,NULL,NULL,NULL,NULL
6322,Marietta,I,Frami,POLICE OFFICER 1,Active,NULL,M,Black / African American,2015-06-21,FOB - Field Operations Bureau,Fifth District,26393,Commissioned,1862
6321,Bridget,V,Beatty,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,NULL,NULL,NULL,NULL,NULL
6320,Eldridge,B,Gulgowski,DNA ANALYST,Active,NULL,M,White,2017-06-11,ISB - Investigations and Support Bureau,NULL,29978,Non-Commissioned,3642
6319,Valentina,E,Mann,DNA ANALYST,Active,NULL,F,White,2017-06-11,ISB - Investigations and Support Bureau,NULL,29979,Non-Commissioned,3642
6318,Jessika,Z,Crona,DNA ANALYST,Active,NULL,F,White,2017-06-11,ISB - Investigations and Support Bureau,NULL,29980,Non-Commissioned,3642
6317,Jackeline,C,Eichmann,DNA ANALYST,Active,NULL,F,Black / African American,2017-06-11,ISB - Investigations and Support Bureau,NULL,29985,Non-Commissioned,309
6316,Reilly,P,Cartwright,DNA ANALYST,Active,NULL,F,Unknown Race,2017-06-11,ISB - Investigations and Support Bureau,NULL,29989,Non-Commissioned,3642
6315,Mozelle,X,Torphy,POLICE RECRUIT ACADEMY,Active,NULL,M,White,2017-06-04,FOB - Field Operations Bureau,NULL,29976,Non-Commissioned,665
6314,Lina,K,Rolfson,POLICE RECRUIT ACADEMY,Active,NULL,F,White,2017-06-04,FOB - Field Operations Bureau,NULL,29977,Non-Commissioned,665
6313,Amaya,R,Bruen,NULL,NULL,NULL,M,Black / African American,NULL,NULL,NULL,NULL,Non-Commissioned,NULL
6312,Bryon,N,Satterfield,POLICE AIDE,Active,NULL,M,White,2017-05-28,FOB - Field Operations Bureau,NULL,29967,Non-Commissioned,665
6311,Ervin,W,Wehner,POLICE AIDE,Active,NULL,F,White,2017-05-28,FOB - Field Operations Bureau,NULL,29963,Non-Commissioned,665
6310,Rita,H,Mills,POLICE TECHNICIAN 1,Terminated,NULL,F,Black / African American,2017-05-28,MSB - Management Service Bureau,NULL,29964,Non-Commissioned,3431
6309,Gardner,C,Kilback,POLICE TECHNICIAN 1,Active,NULL,F,Black / African American,2017-05-28,MSB - Management Service Bureau,NULL,29936,Non-Commissioned,674
6308,Maymie,O,Walsh,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,NULL,NULL,NULL,NULL,NULL
6307,Otto,K,Lowe,POLICE AIDE,Active,NULL,M,Black / African American,2017-05-14,FOB - Field Operations Bureau,NULL,29886,Non-Commissioned,665
6306,Faustino,D,Champlin,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,NULL,NULL,NULL,NULL,NULL
6305,Dallas,D,Abernathy,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,NULL,NULL,NULL,NULL,NULL
6304,Anjali,I,Tillman,POLICE TECHNICAL SPECIALIST,Active,NULL,M,Unknown Race,2011-03-28,MSB - Management Service Bureau,NULL,21116,Non-Commissioned,6072
6303,Kiarra,R,Mitchell,POLICE RECRUIT ACADEMY,Active,NULL,F,Black / African American,2017-05-14,FOB - Field Operations Bureau,NULL,29837,Non-Commissioned,665
6302,Madisyn,O,Beatty,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,NULL,NULL,NULL,NULL,NULL
6301,Jana,I,Kessler,NULL,NULL,NULL,F,Black / African American,NULL,NULL,NULL,NULL,NULL,NULL
6300,Miracle,Y,Hills,POLICE RECRUIT ACADEMY,Active,NULL,M,Black / African American,2017-04-30,FOB - Field Operations Bureau,NULL,29853,Commissioned,665
6299,Shanny,U,Okuneva,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,NULL,NULL,NULL,NULL,NULL
6298,Donato,Z,Sauer,POLICE AIDE,Terminated,NULL,M,White,2017-04-30,MSB - Management Service Bureau,NULL,29834,Commissioned,2923
6297,Elta,X,Altenwerth,POLICE RECRUIT ACADEMY,Active,NULL,M,White,2017-04-30,FOB - Field Operations Bureau,NULL,29835,Commissioned,665
6296,Arnaldo,M,Jast,POLICE AIDE,Active,NULL,M,Black / African American,2017-04-30,FOB - Field Operations Bureau,NULL,29836,Commissioned,665
6295,Blair,Q,Carroll,POLICE AIDE,Active,NULL,F,Black / African American,2017-04-30,FOB - Field Operations Bureau,NULL,29838,Commissioned,665
6294,Caroline,Y,Schmeler,POLICE RECRUIT ACADEMY,Active,NULL,F,Black / African American,2017-04-02,MSB - Management Service Bureau,NULL,29803,Commissioned,3999
6293,Aditya,L,Cummerata,POLICE RECRUIT ACADEMY,Active,NULL,F,Black / African American,2017-04-02,FOB - Field Operations Bureau,NULL,29804,Commissioned,665
6292,Felicia,T,Paucek,Police Investigative Special,Active,NULL,F,White,2017-03-26,MSB - Management Service Bureau,NULL,29798,Commissioned,3370
6291,Mckayla,X,Kshlerin,POLICE RECRUIT ACADEMY,Active,NULL,M,Asian / Pacific Islander,2017-04-02,FOB - Field Operations Bureau,NULL,29785,Commissioned,665
6290,Stone,Y,Schinner,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,NULL,NULL,NULL,NULL,NULL
6289,Scot,B,Roob,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,NULL,NULL,NULL,NULL,NULL
6288,Aglae,C,Greenfelder,POLICE RECRUIT ACADEMY,Active,NULL,M,White,2017-03-19,FOB - Field Operations Bureau,NULL,29781,Commissioned,665
6287,Kurt,L,Rutherford,POLICE RECRUIT ACADEMY,Active,NULL,F,White,2017-03-19,FOB - Field Operations Bureau,NULL,29783,Commissioned,665
6286,Ali,P,Harber,Police Performance Auditor,Active,NULL,F,White,2017-03-05,Compliance Bureau,NULL,29776,Commissioned,5901
6285,Shanel,A,Kuvalis,POLICE RECRUIT ACADEMY,Active,NULL,M,White,2017-03-05,FOB - Field Operations Bureau,NULL,29774,Commissioned,665
6284,Tiffany,P,Dach,Federal Monitors,NULL,NULL,Unknown Sex,White,NULL,NULL,NULL,NULL,NULL,NULL
6283,Eveline,D,Kuvalis,POLICE RECRUIT ACADEMY,Active,NULL,F,Black / African American,2017-03-05,FOB - Field Operations Bureau,NULL,29760,Commissioned,665
6282,Raymond,H,Dibbert,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,NULL,NULL,NULL,NULL,NULL
6281,Amelia,H,Rath,POLICE RECRUIT ACADEMY,Active,NULL,M,Hispanic,2017-03-05,FOB - Field Operations Bureau,NULL,29759,Commissioned,665
6280,Joshua,Y,Schamberger,Crime Analyst I,Active,NULL,F,White,2017-03-05,FOB - Field Operations Bureau,NULL,29751,Commissioned,5698
6279,Zane,X,McLaughlin,POLICE RECRUIT ACADEMY,Active,NULL,M,White,2017-03-05,FOB - Field Operations Bureau,NULL,29744,Commissioned,665
6278,Jorge,D,Quitzon,POLICE RECRUIT ACADEMY,Active,NULL,M,Black / African American,2017-03-05,FOB - Field Operations Bureau,NULL,29745,Commissioned,665
6277,Anna,J,Metz,NULL,NULL,NULL,M,White,NULL,ISB - Investigative Services Bureau,NULL,NULL,NULL,NULL
6276,Era,S,Friesen,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,NULL,NULL,NULL,NULL,NULL
6275,Lon,Y,Williamson,POLICE AIDE,Active,NULL,M,White,2017-02-19,FOB - Field Operations Bureau,NULL,29737,Commissioned,665
6274,Cleve,S,Crooks,POLICE AIDE,Active,NULL,M,Hispanic,2017-02-19,FOB - Field Operations Bureau,NULL,29738,Commissioned,665
6273,Bennie,Q,Sipes,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,NULL,NULL,NULL,NULL,NULL
6272,Hershel,E,Gibson,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,NULL,NULL,NULL,NULL,NULL
6271,Brady,E,Murray,POLICE RECRUIT ACADEMY,Active,NULL,M,White,2017-02-19,FOB - Field Operations Bureau,NULL,29729,Commissioned,665
6270,Roger,R,Schmidt,POLICE RECRUIT ACADEMY,Active,NULL,M,White,2017-02-19,FOB - Field Operations Bureau,NULL,29730,Commissioned,665
6269,Abagail,T,Schaefer,Deputy Chief of Staff (NOPD),Active,NULL,M,White,2015-07-06,Office of the Superintendant,NULL,26442,Commissioned,NULL
6268,Estell,N,Cassin,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,NULL,NULL,NULL,NULL,NULL
6267,Christophe,I,Crist,POLICE RECRUIT ACADEMY,Active,NULL,M,White,2017-02-12,FOB - Field Operations Bureau,NULL,29715,Commissioned,665
6266,Lue,G,Huels,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,NULL,NULL,NULL,NULL,NULL
6265,Ryan,W,Tremblay,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,ISB - Investigative Services Bureau,NULL,NULL,NULL,NULL
6264,Chasity,B,Trantow,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,NULL,NULL,NULL,NULL,NULL
6263,Zachariah,F,Prosacco,POLICE RECRUIT ACADEMY,Active,NULL,M,Hispanic,2017-02-05,FOB - Field Operations Bureau,NULL,29678,Commissioned,665
6262,Delphine,T,Bauch,POLICE RECRUIT ACADEMY,Active,NULL,F,White,2017-02-05,FOB - Field Operations Bureau,NULL,29685,Commissioned,665
6261,Junius,A,Nader,ADMINISTRATIVE ASSISTANT,Active,NULL,M,White,2017-01-22,Office of the Superintendant,NULL,29708,Commissioned,739
6260,Abdullah,I,Mitchell,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,NULL,NULL,NULL,NULL,NULL
6259,Torey,R,Hagenes,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,NULL,NULL,NULL,NULL,NULL
6258,General,V,Larson,NULL,NULL,NULL,Unknown Sex,Unknown Race,NULL,NULL,NULL,NULL,NULL,NULL
6257,Vada,T,Reilly,CRIME LAB DIRECTOR,Active,NULL,M,White,2017-01-22,ISB - Investigations and Support Bureau,NULL,29677,Commissioned,309
6256,Austyn,A,Ward,POLICE RECRUIT ACADEMY,Terminated,NULL,F,Black / African American,2017-01-22,FOB - Field Operations Bureau,NULL,29679,Commissioned,665
6255,Nestor,P,Kshlerin,INFORMATION TECH SPEC I,Active,NULL,M,Black / African American,2017-01-22,Office of the Superintendant,NULL,29650,Commissioned,3611
6254,Cameron,B,Nitzsche,POLICE AIDE,Terminated,NULL,M,Hispanic,2017-01-22,MSB - Management Service Bureau,NULL,29663,Commissioned,3802
6253,Alize,U,Rolfson,INFORMATION TECH SPEC I,Active,NULL,M,Black / African American,2017-01-08,Office of the Superintendant,NULL,29651,Commissioned,3611
